ID;MOTHER;FATHER
D1;0;0
D2;0;0
D3;0;0
D4;0;0
D5;0;0
Y1;0;0
LF1;0;0
LF2;0;0
L1;LF1;LF2
L2;LF1;LF2
L3;LF1;LF2
D1L3_1;D1;L3
D1L3_2;D1;L3
D1L3_3;D1;L3
D1Y1_1;D1;Y1
D1Y1_2;D1;Y1
D1Y1_3;D1;Y1
D3L1_1;D3;L1
D3L1_2;D3;L1
D3L1_3;D3;L1
D3L2_1;D3;L2
D3L2_2;D3;L2
D3L2_3;D3;L2
D1L3_4;D1;L3
D1L3_5;D1;L3
D1L3_6;D1;L3
D1Y1_4;D1;Y1
D1Y1_5;D1;Y1
D1Y1_6;D1;Y1
D3L1_4;D3;L1
D3L1_5;D3;L1
D3L1_6;D3;L1
D3L2_4;D3;L2
D3L2_5;D3;L2
D3L2_6;D3;L2
D1L3_7;D1;L3
D1L3_8;D1;L3
D1L3_9;D1;L3
D1Y1_7;D1;Y1
D1Y1_8;D1;Y1
D1Y1_9;D1;Y1
D3L1_7;D3;L1
D3L1_8;D3;L1
D3L1_9;D3;L1
D3L2_7;D3;L2
D3L2_8;D3;L2
D3L2_9;D3;L2
D1L3_10;D1;L3
D1L3_11;D1;L3
D1L3_12;D1;L3
D1Y1_10;D1;Y1
D1Y1_11;D1;Y1
D1Y1_12;D1;Y1
D3L1_10;D3;L1
D3L1_11;D3;L1
D3L1_12;D3;L1
D3L2_10;D3;L2
D3L2_11;D3;L2
D3L2_12;D3;L2
D1L3_13;D1;L3
D1L3_14;D1;L3
D1L3_15;D1;L3
D1Y1_13;D1;Y1
D1Y1_14;D1;Y1
D1Y1_15;D1;Y1
D3L1_13;D3;L1
D3L1_14;D3;L1
D3L1_15;D3;L1
D3L2_13;D3;L2
D3L2_14;D3;L2
D3L2_15;D3;L2
D3L3_1;D3;L3
D3L3_2;D3;L3
D3L3_3;D3;L3
D4L1_1;D4;L1
D4L1_2;D4;L1
D4L1_3;D4;L1
D2L1_1;D2;L1
D2L1_2;D2;L1
D2L1_3;D2;L1
D2L2_1;D2;L2
D2L2_2;D2;L2
D2L2_3;D2;L2
D3L3_4;D3;L3
D3L3_5;D3;L3
D3L3_6;D3;L3
D4L1_4;D4;L1
D4L1_5;D4;L1
D4L1_6;D4;L1
D2L1_4;D2;L1
D2L1_5;D2;L1
D2L1_6;D2;L1
D2L2_4;D2;L2
D2L2_5;D2;L2
D2L2_6;D2;L2
D3L3_7;D3;L3
D3L3_8;D3;L3
D3L3_9;D3;L3
D4L1_7;D4;L1
D4L1_8;D4;L1
D4L1_9;D4;L1
D2L1_7;D2;L1
D2L1_8;D2;L1
D2L1_9;D2;L1
D2L2_7;D2;L2
D2L2_8;D2;L2
D2L2_9;D2;L2
D3L3_10;D3;L3
D3L3_11;D3;L3
D3L3_12;D3;L3
D4L1_10;D4;L1
D4L1_11;D4;L1
D4L1_12;D4;L1
D2L1_10;D2;L1
D2L1_11;D2;L1
D2L1_12;D2;L1
D2L2_10;D2;L2
D2L2_11;D2;L2
D2L2_12;D2;L2
D3L3_13;D3;L3
D3L3_14;D3;L3
D3L3_15;D3;L3
D4L1_13;D4;L1
D4L1_14;D4;L1
D4L1_15;D4;L1
D2L1_13;D2;L1
D2L1_14;D2;L1
D2L1_15;D2;L1
D2L2_13;D2;L2
D2L2_14;D2;L2
D2L2_15;D2;L2
D3L3_16;D3;L3
D3L3_17;D3;L3
D3L3_18;D3;L3
D2Y1_1;D2;Y1
D2Y1_2;D2;Y1
D2Y1_3;D2;Y1
D3Y1_1;D3;Y1
D3Y1_2;D3;Y1
D3Y1_3;D3;Y1
D3Y1_4;D3;Y1
D3Y1_5;D3;Y1
D3Y1_6;D3;Y1
D3L3_19;D3;L3
D3L3_20;D3;L3
D3L3_21;D3;L3
D2Y1_4;D2;Y1
D2Y1_5;D2;Y1
D2Y1_6;D2;Y1
D3Y1_7;D3;Y1
D3Y1_8;D3;Y1
D3Y1_9;D3;Y1
D3Y1_10;D3;Y1
D3Y1_11;D3;Y1
D3Y1_12;D3;Y1
D3L3_22;D3;L3
D3L3_23;D3;L3
D3L3_24;D3;L3
D2Y1_7;D2;Y1
D2Y1_8;D2;Y1
D2Y1_9;D2;Y1
D3Y1_13;D3;Y1
D3Y1_14;D3;Y1
D3Y1_15;D3;Y1
D3Y1_16;D3;Y1
D3Y1_17;D3;Y1
D3Y1_18;D3;Y1
D3L3_25;D3;L3
D3L3_26;D3;L3
D3L3_27;D3;L3
D2Y1_10;D2;Y1
D2Y1_11;D2;Y1
D2Y1_12;D2;Y1
D3Y1_19;D3;Y1
D3Y1_20;D3;Y1
D3Y1_21;D3;Y1
D3Y1_22;D3;Y1
D3Y1_23;D3;Y1
D3Y1_24;D3;Y1
D3L3_28;D3;L3
D3L3_29;D3;L3
D3L3_30;D3;L3
D2Y1_13;D2;Y1
D2Y1_14;D2;Y1
D2Y1_15;D2;Y1
D3Y1_25;D3;Y1
D3Y1_26;D3;Y1
D3Y1_27;D3;Y1
D3Y1_28;D3;Y1
D3Y1_29;D3;Y1
D3Y1_30;D3;Y1
D5L2_1;D5;L2
D5L2_2;D5;L2
D5L2_3;D5;L2
D5L3_1;D5;L3
D5L3_2;D5;L3
D5L3_3;D5;L3
D2L3_1;D2;L3
D2L3_2;D2;L3
D2L3_3;D2;L3
D4L3_1;D4;L3
D4L3_2;D4;L3
D4L3_3;D4;L3
D5L2_4;D5;L2
D5L2_5;D5;L2
D5L2_6;D5;L2
D5L3_4;D5;L3
D5L3_5;D5;L3
D5L3_6;D5;L3
D2L3_4;D2;L3
D2L3_5;D2;L3
D2L3_6;D2;L3
D4L3_4;D4;L3
D4L3_5;D4;L3
D4L3_6;D4;L3
D5L2_7;D5;L2
D5L2_8;D5;L2
D5L2_9;D5;L2
D5L3_7;D5;L3
D5L3_8;D5;L3
D5L3_9;D5;L3
D2L3_7;D2;L3
D2L3_8;D2;L3
D2L3_9;D2;L3
D4L3_7;D4;L3
D4L3_8;D4;L3
D4L3_9;D4;L3
D5L2_10;D5;L2
D5L2_11;D5;L2
D5L2_12;D5;L2
D5L3_10;D5;L3
D5L3_11;D5;L3
D5L3_12;D5;L3
D2L3_10;D2;L3
D2L3_11;D2;L3
D2L3_12;D2;L3
D4L3_10;D4;L3
D4L3_11;D4;L3
D4L3_12;D4;L3
D5L2_13;D5;L2
D5L2_14;D5;L2
D5L2_15;D5;L2
D5L3_13;D5;L3
D5L3_14;D5;L3
D5L3_15;D5;L3
D2L3_13;D2;L3
D2L3_14;D2;L3
D2L3_15;D2;L3
D4L3_13;D4;L3
D4L3_14;D4;L3
D4L3_15;D4;L3
D4L1_16;D4;L1
D4L1_17;D4;L1
D4L1_18;D4;L1
D5L3_16;D5;L3
D5L3_17;D5;L3
D5L3_18;D5;L3
D1Y1_16;D1;Y1
D1Y1_17;D1;Y1
D1Y1_18;D1;Y1
D1L3_16;D1;L3
D1L3_17;D1;L3
D1L3_18;D1;L3
D4L1_19;D4;L1
D4L1_20;D4;L1
D4L1_21;D4;L1
D5L3_19;D5;L3
D5L3_20;D5;L3
D5L3_21;D5;L3
D1Y1_19;D1;Y1
D1Y1_20;D1;Y1
D1Y1_21;D1;Y1
D1L3_19;D1;L3
D1L3_20;D1;L3
D1L3_21;D1;L3
D4L1_22;D4;L1
D4L1_23;D4;L1
D4L1_24;D4;L1
D5L3_22;D5;L3
D5L3_23;D5;L3
D5L3_24;D5;L3
D1Y1_22;D1;Y1
D1Y1_23;D1;Y1
D1Y1_24;D1;Y1
D1L3_22;D1;L3
D1L3_23;D1;L3
D1L3_24;D1;L3
D4L1_25;D4;L1
D4L1_26;D4;L1
D4L1_27;D4;L1
D5L3_25;D5;L3
D5L3_26;D5;L3
D5L3_27;D5;L3
D1Y1_25;D1;Y1
D1Y1_26;D1;Y1
D1Y1_27;D1;Y1
D1L3_25;D1;L3
D1L3_26;D1;L3
D1L3_27;D1;L3
D4L1_28;D4;L1
D4L1_29;D4;L1
D4L1_30;D4;L1
D5L3_28;D5;L3
D5L3_29;D5;L3
D5L3_30;D5;L3
D1Y1_28;D1;Y1
D1Y1_29;D1;Y1
D1Y1_30;D1;Y1
D1L3_28;D1;L3
D1L3_29;D1;L3
D1L3_30;D1;L3
D2L3_16;D2;L3
D2L3_17;D2;L3
D2L3_18;D2;L3
D2L1_16;D2;L1
D2L1_17;D2;L1
D2L1_18;D2;L1
D5L2_16;D5;L2
D5L2_17;D5;L2
D5L2_18;D5;L2
D2L2_16;D2;L2
D2L2_17;D2;L2
D2L2_18;D2;L2
D2L3_19;D2;L3
D2L3_20;D2;L3
D2L3_21;D2;L3
D2L1_19;D2;L1
D2L1_20;D2;L1
D2L1_21;D2;L1
D5L2_19;D5;L2
D5L2_20;D5;L2
D5L2_21;D5;L2
D2L2_19;D2;L2
D2L2_20;D2;L2
D2L2_21;D2;L2
D2L3_22;D2;L3
D2L3_23;D2;L3
D2L3_24;D2;L3
D2L1_22;D2;L1
D2L1_23;D2;L1
D2L1_24;D2;L1
D5L2_22;D5;L2
D5L2_23;D5;L2
D5L2_24;D5;L2
D2L2_22;D2;L2
D2L2_23;D2;L2
D2L2_24;D2;L2
D2L3_25;D2;L3
D2L3_26;D2;L3
D2L3_27;D2;L3
D2L1_25;D2;L1
D2L1_26;D2;L1
D2L1_27;D2;L1
D5L2_25;D5;L2
D5L2_26;D5;L2
D5L2_27;D5;L2
D2L2_25;D2;L2
D2L2_26;D2;L2
D2L2_27;D2;L2
D2L3_28;D2;L3
D2L3_29;D2;L3
D2L3_30;D2;L3
D2L1_28;D2;L1
D2L1_29;D2;L1
D2L1_30;D2;L1
D5L2_28;D5;L2
D5L2_29;D5;L2
D5L2_30;D5;L2
D2L2_28;D2;L2
D2L2_29;D2;L2
D2L2_30;D2;L2
D3Y1_31;D3;Y1
D3Y1_32;D3;Y1
D3Y1_33;D3;Y1
D2L1_31;D2;L1
D2L1_32;D2;L1
D2L1_33;D2;L1
D3Y1_34;D3;Y1
D3Y1_35;D3;Y1
D3Y1_36;D3;Y1
D3L1_16;D3;L1
D3L1_17;D3;L1
D3L1_18;D3;L1
D3Y1_37;D3;Y1
D3Y1_38;D3;Y1
D3Y1_39;D3;Y1
D2L1_34;D2;L1
D2L1_35;D2;L1
D2L1_36;D2;L1
D3Y1_40;D3;Y1
D3Y1_41;D3;Y1
D3Y1_42;D3;Y1
D3L1_19;D3;L1
D3L1_20;D3;L1
D3L1_21;D3;L1
D3Y1_43;D3;Y1
D3Y1_44;D3;Y1
D3Y1_45;D3;Y1
D2L1_37;D2;L1
D2L1_38;D2;L1
D2L1_39;D2;L1
D3Y1_46;D3;Y1
D3Y1_47;D3;Y1
D3Y1_48;D3;Y1
D3L1_22;D3;L1
D3L1_23;D3;L1
D3L1_24;D3;L1
D3Y1_49;D3;Y1
D3Y1_50;D3;Y1
D3Y1_51;D3;Y1
D2L1_40;D2;L1
D2L1_41;D2;L1
D2L1_42;D2;L1
D3Y1_52;D3;Y1
D3Y1_53;D3;Y1
D3Y1_54;D3;Y1
D3L1_25;D3;L1
D3L1_26;D3;L1
D3L1_27;D3;L1
D3Y1_55;D3;Y1
D3Y1_56;D3;Y1
D3Y1_57;D3;Y1
D2L1_43;D2;L1
D2L1_44;D2;L1
D2L1_45;D2;L1
D3Y1_58;D3;Y1
D3Y1_59;D3;Y1
D3Y1_60;D3;Y1
D3L1_28;D3;L1
D3L1_29;D3;L1
D3L1_30;D3;L1
D3L3_31;D3;L3
D3L3_32;D3;L3
D3L3_33;D3;L3
D4L3_16;D4;L3
D4L3_17;D4;L3
D4L3_18;D4;L3
D3L2_16;D3;L2
D3L2_17;D3;L2
D3L2_18;D3;L2
D2Y1_16;D2;Y1
D2Y1_17;D2;Y1
D2Y1_18;D2;Y1
D3L3_34;D3;L3
D3L3_35;D3;L3
D3L3_36;D3;L3
D4L3_19;D4;L3
D4L3_20;D4;L3
D4L3_21;D4;L3
D3L2_19;D3;L2
D3L2_20;D3;L2
D3L2_21;D3;L2
D2Y1_19;D2;Y1
D2Y1_20;D2;Y1
D2Y1_21;D2;Y1
D3L3_37;D3;L3
D3L3_38;D3;L3
D3L3_39;D3;L3
D4L3_22;D4;L3
D4L3_23;D4;L3
D4L3_24;D4;L3
D3L2_22;D3;L2
D3L2_23;D3;L2
D3L2_24;D3;L2
D2Y1_22;D2;Y1
D2Y1_23;D2;Y1
D2Y1_24;D2;Y1
D3L3_40;D3;L3
D3L3_41;D3;L3
D3L3_42;D3;L3
D4L3_25;D4;L3
D4L3_26;D4;L3
D4L3_27;D4;L3
D3L2_25;D3;L2
D3L2_26;D3;L2
D3L2_27;D3;L2
D2Y1_25;D2;Y1
D2Y1_26;D2;Y1
D2Y1_27;D2;Y1
D3L3_43;D3;L3
D3L3_44;D3;L3
D3L3_45;D3;L3
D4L3_28;D4;L3
D4L3_29;D4;L3
D4L3_30;D4;L3
D3L2_28;D3;L2
D3L2_29;D3;L2
D3L2_30;D3;L2
D2Y1_28;D2;Y1
D2Y1_29;D2;Y1
D2Y1_30;D2;Y1
D2Y1_31;D2;Y1
D2Y1_32;D2;Y1
D2Y1_33;D2;Y1
D1L3_31;D1;L3
D1L3_32;D1;L3
D1L3_33;D1;L3
D2L1_46;D2;L1
D2L1_47;D2;L1
D2L1_48;D2;L1
D3L3_46;D3;L3
D3L3_47;D3;L3
